Latitude,Longitude
-7.8011998,110.3646608
-7.8011998,110.3646608
-7.313159300000001,108.40489379583816
-3.0432,114.7614
-6.1123938,106.1585941
1.01965765,104.56981887122059
-7.716976,110.180433
-0.72393595,111.6559533170987
-2.88428125,107.6631595873786
-5.2006665000000005,120.14418652445201
-7.86429,112.523565
-7.4704907,110.2145487
-7.73926,109.0141049
-7.73926,109.0141049
-7.716976,110.180433
-7.945081,110.661117
-7.73926,109.0141049
-3.0192963500000003,114.6779323066177
5.887897,10.011026
-7.716976,110.180433
-6.8078233,110.8416866
-7.945081,110.661117
-7.8011998,110.3646608
-7.7077503,110.5999461
-3.241149,116.2257814
-7.9771308,112.6340265
-4.822433,119.495071
-8.6330934,116.5587704
-7.4704907,110.2145487
-7.7130761,110.0090605
-7.945081,110.661117
-5.2006665000000005,120.14418652445201
-0.516217,102.930472
-3.897138,115.152327
1.196122,124.883889
-7.06067745,110.44358590762698
-6.9903988,110.4229104
-7.945081,110.661117
-8.135205,113.2244162
-8.6330934,116.5587704
-7.4725876,112.4340515
-3.4397517,114.8309351
-7.945081,110.661117
-6.8073627,108.27878604491181
-7.716976,110.180433
-4.685645,104.003735
-6.8073627,108.27878604491181
-1.6342492,106.0051002
-3.897138,115.152327
-7.8011998,110.3646608
-1.6296917,103.6077806
-4.275203,104.441251
-7.73926,109.0141049
-7.5165099,109.2935505
-7.716976,110.180433
1.01965765,104.56981887122059
-6.934217,107.722257
-6.8078233,110.8416866
-6.49838875,107.73954601355435
-1.21313785,121.61960745763055
-7.4704907,110.2145487
-7.73926,109.0141049
-7.8011998,110.3646608
-7.73926,109.0141049
-1.6296917,103.6077806
-6.9903988,110.4229104
-5.3669442499999995,104.18664171357318
-6.9903988,110.4229104
-7.5313771,110.5972919
-7.566429,112.0417784
-7.561464,112.24130435297603
-7.73926,109.0141049
-7.945081,110.661117
-6.8073627,108.27878604491181
-1.1973862,116.56730326735101
0.4392758,102.0860694
-7.566429,112.0417784
-2.12017655,112.16502507460933
-3.8440385,114.98885931183128
-2.8622729500000004,115.01096398201116
0.19563304999999998,116.20041670228474
-3.0432,114.7614
-0.516217,102.930472
-6.8438014,110.77134648097302
3.08018,117.240926
-3.0192963500000003,114.6779323066177
-2.8622729500000004,115.01096398201116
-2.930392,132.295102
-2.88428125,107.6631595873786
-7.6829886,110.8406284
-6.8438014,110.77134648097302
2.838334,117.368692
-1.8477454,109.9727296
-7.566429,112.0417784
-6.3809,105.9406
-2.2072919,113.9164372
-7.7067843,114.0054142
-2.50421195,111.64680968632115
-8.682043,121.001537
4.1404048,117.6511375
3.23924,97.234497
-3.9839496,103.3249505
3.295864,117.601967
4.1404048,117.6511375
-1.9250896,105.93652078561858
-0.165389,104.576733
3.295864,117.601967
-0.165389,104.576733
4.1404048,117.6511375
3.23924,97.234497
1.468944,102.110526
0.5262455,101.4515727
-0.516217,102.930472
-0.593005,100.559547
-4.275203,104.441251
4.1404048,117.6511375
-6.3809,105.9406
5.571005850000001,95.3378764
4.811484399999999,95.70019149086998
4.1404048,117.6511375
-6.9342173,107.7222573
-6.9903988,110.4229104
-7.289586,112.714584
3.572702,98.673415
-0.9247587,100.3632561
-6.1123938,106.1585941
5.887897,10.011026
-8.58499,116.08571
-0.0226903,109.3447488
-5.1342962,119.4124282
-6.934217,107.722257
-7.4704907,110.2145487
-7.9771308,112.6340265
2.957076,99.06484
-0.3051954,100.3694921
-6.315982,106.677513
5.887897,10.011026
-8.615237,118.738413
0.9069861,108.9889657
-4.0057055,119.6236101
-6.24087,106.98876
-6.8905065,109.6761489
-7.7441461,113.2158401
3.3273686,99.1623025
-0.2242687,100.6319419
-6.008522,106.041135
5.887897,10.011026
-8.5164771,118.33121614464076
-1.8477454,109.9727296
-2.9996306,120.1920679
-6.420106,106.844062
-6.867334,109.1378188
-6.30304,106.896762
3.6063964,98.4899865
-0.2463306,100.4562123
-6.032761,106.1636947
5.887897,10.011026
-8.73412725,117.4959869902373
0.3652935,108.9599129
43.17601,21.15011
-6.886277,107.553728
-7.3302642,110.4995353
-7.4725876,112.4340515
2.9703419,99.8020903
-0.6818141,100.778552
-6.032761,106.1636947
5.887897,10.011026
-8.703071,116.2899373
0.8193504,109.4835778
-4.834493,119.5471569
-7.602201,108.11575
-7.4279011,109.2408501
-7.8111057,112.0046051
1.741088,98.772323
-0.4654636,100.3932441
-6.5850357,106.407606
25.1456917,121.4035113
52.958117,4.757485
0.477854,111.593603
-4.402619,119.620294
-5.52093,105.57282
-6.8078233,110.8416866
-7.6290837,111.5168819
3.5603701,98.8766933
-0.6263889,100.1177778
-6.315982,106.677513
-8.4464252,115.6135572
-8.489863,117.4195965
1.6084229,109.1811618
-4.822433,119.495071
-6.934217,107.722257
-7.5313771,110.5972919
-8.172913,113.703078
3.7546297,98.4581085
-0.56909175,100.27702620276852
-6.032761,106.1636947
25.1456917,121.4035113
-8.6330934,116.5587704
0.0235402,110.8906453
-3.9655767500000003,120.12793772214954
-6.331362,107.333638
-7.7077503,110.5999461
-8.135205,113.2244162
3.5173404,98.7926727
1.7447435,33.0932897
-6.1123938,106.1585941
5.887897,10.011026
-8.615237,118.738413
-0.72393595,111.6559533170987
-4.318869599999999,119.91850620500955
-6.5914091,107.4020278724934
-7.4277335,111.023494
-8.0982442,112.1650769
3.69524335,98.8310744882268
0.322549,100.171601
-6.032761,106.1636947
5.887897,10.011026
-8.5164771,118.33121614464076
0.8274259500000001,112.79654118259097
-5.40665405,119.53754170286852
-6.49838875,107.73954601355435
-7.814198,110.9259617
-8.07290355,111.89964078880708
3.8293858,98.24834954457486
-0.593005,100.559547
-6.032761,106.1636947
5.887897,10.011026
-8.703071,116.2899373
0.1927001,111.55981182271624
-4.822433,119.495071
-6.4418536500000005,108.17654724128828
-7.09809465,110.89667670375852
-8.0490793,111.7090951
3.1127636,99.94169218698525
0.18753815000000001,99.69351567782829
-6.1123938,106.1585941
25.1456917,121.4035113
52.958117,4.757485
0.8193504,109.4835778
-5.5444892,119.6119732151142
